Label, Entity, Frequency
Mother,Speaker,3
Victor,Speaker,83
Father,Speaker,15
M.Krempe,Speaker,7
M.Waldman,Speaker,5
Clerval,Speaker,26
Elizabeth,Speaker,30
Ernest,Speaker,8
Justine,Speaker,13
Monster,Speaker,50
Felix,Speaker,3
De_Lacey,Speaker,14
William,Speaker,4
Irish_Man,Speaker,5
Nurse,Speaker,2
Kirwin,Speaker,5
Magistrate,Speaker,5
Walton,Speaker,7
Frankenstein_Narrator,Narrator,18
Monster_Narrator,Narrator,6
Walton_Narrator,Narrator,1
